nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/leopardstown-tennis-club.ico
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/leixlip-tennis-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/letterkenny.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/limavady.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /search
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/limerick-lawn-tennis-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/lisburn-racquets-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/lombard.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 3 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/longford-tennis-club.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/loughrea.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/lowera.jpg
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /assets/data/rk7a9nq3.js
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /components.js?v=20250917-2
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /app.js?v=20250917-2
 HTTP  11/22/2025 6:36:14 PM ::1 GET /config.js
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 304 in 0 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/lurgan.jpg
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/malahide_castle.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 2 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/malahide.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/meadowvale-tennis.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 0 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/mitchel.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 1 ms
 HTTP  11/22/2025 6:36:14 PM ::1 GET /images/logos/moate.png
 HTTP  11/22/2025 6:36:14 PM ::1 Returned 200 in 0 ms
